Site ID,Area,RFI Date,Power Configuration ,Site Status,PO Number,"Permanent Grid Connection PO Ref No.",Permanent Grid Connection Date,"Permanent Grid Connection cost","Temporary Grid Connection PO Ref No.",Temporary Grid Connection Date,"Temporary Grid Connection cost","Electrification Category(Rollout/ Operations)","Electrification conversion Rate",Electrification Invoice Batch No,"High Capex Sites(Yes/No)",Community Pass Thru cost,Ooredoo Site ID,Ooredoo Activation Date,Ooredoo Deactivation Date,Ooredoo  Site Class,Ooredoo Average Site Load,Ooredoo Uptime,MPT  OpCo ID,MPT Activation Date,MPT deactivation Date,Tenant2  Site Class,MPT Average Site Load,MPT Uptime,Amara  OpCo ID,Amara Activation Date,Amara deactivation Date,Amara  Site Class,Amara Average Site Load,Amara Uptime
AcSH0005,Shan,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcSH0005,19-10-2015,,Critical,2.43,99.99900438,,,,,,,,,,,,
AcYA0004,Yangon,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcYA0004,23-09-2015,,Class B,3.68,99.86,CoYA0004,15-08-2017,,Class C,1.5,99.86,,,,,,
AcYA0006,Yangon,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcYA0006,23-09-2015,,Class B,3.44,97.97857344,AmYA0002,22-02-2017,,Class C,1.5,97.97857344,,,,,,
AcYA0010,Yangon,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcYA0010,23-09-2015,,Critical,2.38,99.98015399,,,,,,,,,,,,
AcAY0007,Ayeyarwady,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcAY0007,21-09-2015,,Class B,1.92,99.97860663,,,,,,,,,,,,
AcBA0006,Bago,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcBA0006,21-09-2015,,Class B,2.50,99.99739894,,,,,,,,,,,,
AcMA0004,Mandalay,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcMA0004,17-10-2015,,Critical,2.70,98.4938479,,,,,,,,,,,,
AcMA0005,Mandalay,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcMA0005,17-10-2015,,Class B,2.59,99.92820341,,,,,,,,,,,,
AcMA0011,Mandalay,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcMA0011,17-10-2015,,Critical,6.13,98.44609136,,,,,,,,,,,,
AcMW0002,Magway,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcMW0002,17-09-2015,,Class B,2.68,99.88907557,,,,,,,,,,,,
AcYA0016,Yangon,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcYA0016,23-09-2015,,Class B,2.70,99.07545135,,,,,,,,,,,,
AcYA0024,Yangon,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcYA0024,23-09-2015,,Class B,3.45,99.91,AmYA0006,06-02-2017,,Class C,1.5,99.91,,,,,,
AcAY0004,Ayeyarwady,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcAY0004,21-09-2015,,Class B,2.13,99.99584329,,,,,,,,,,,,
AcBA0003,Bago,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcBA0003,21-09-2015,,Class B,2.40,99.97001941,,,,,,,,,,,,
AcBA0004,Bago,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcBA0004,21-09-2015,,Critical,3.83,99.9941051,,,,,,,,,,,,
AcMA0008,Mandalay,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcMA0008,17-10-2015,,Class B,3.11,99.80874983,,,,,,,,,,,,
